subregion	blog	url
EastAfrica	coffee_origin_culture	https://absoluteethiopia.com/ethiopian-coffee-culture-places-to-see-in-the-birthplace-of-coffee/
EastAfrica	highland_trekking	https://www.lonelyplanet.com/articles/trekking-ethiopias-simien-mountains
EastAfrica	walking_safari	https://kicheche.com/bush-walks/
EastAfrica	white_water_rafting_nile	https://wildjungletrails.com/white-water-rafting-jinja-uganda/
NorthAfrica	coastal_towns	https://www.aol.com/articles/11-african-cities-stunning-waterfronts-162557883.html
NorthAfrica	islamic_architecture	https://moroccan-odyssey.com/koutoubia-mosque-history-architecture/
EastAsia	imperial_palaces	https://english.visitseoul.net/attractions/Gyeongbokgung/ENP000072
EastAsia	nightlife_entertainment	https://www.morningstar.com/news/pr-newswire/20260221ny92865/ttw-announces-top-50-nightlife-travel-destinations-in-the-world-for-2026
EastAsia	street_food_night_markets	https://www.idyllicpursuit.com/15-food-cities-in-asia-where-street-markets-steal-the-show/
MiddleEast	arabian_cuisine_food	https://www.emirates.com/english/experience/dining/emirates-recipes/arabic-mezze/
SouthAsia	himalayan_trekking	https://followalice.com/adventure-trips/everest-base-camp/posts/nepal-trekking-permits-and-fees
SoutheastAsia	elephant_sanctuaries	https://www.legendtravelgroup.com/a/exploring-ethical-elephant-sanctuaries-in-vietnam-cambodia-laos-and-thailand-a-comprehensive-guide-for-international-travelers
SoutheastAsia	jungle_wildlife	https://castawaychris.com/sundaland/
SoutheastAsia	nightlife_parties	https://www.legendtravelgroup.com/a/exploring-southeast-asia-nightlife-a-vibrant-travel-guide-for-all-travelers
SoutheastAsia	scuba_diving	https://guidetothephilippines.ph/articles/islands-and-beaches/best-dive-spots-philippines
SoutheastAsia	street_food_markets	https://seasia.co/2025/09/20/penang-on-the-top-list-here-are-the-best-street-food-cities-in-southeast-asia
AtlanticIslands	cape_verde_beaches	https://www.islaguru.com/islands/cabo-verde
AtlanticIslands	island_carnival_festivals	https://www.islaguru.com/articles/tenerife-carnival-guide
AtlanticIslands	island_carnival_festivals	https://www.islaguru.com/islands/cabo-verde
AtlanticIslands	island_cuisine_seafood	https://www.islaguru.com/islands/cabo-verde
AtlanticIslands	mindelo_morna_music	https://www.islaguru.com/islands/cabo-verde
AtlanticIslands	santo_antao_hiking	https://www.islaguru.com/islands/cabo-verde
AtlanticIslands	surf_windsurf_kite	https://www.islaguru.com/islands/cabo-verde
CentralEurope	food_markets_cuisine	https://avocadu.com/market-halls-in-europe-where-winter-foods-take-center-stage/
CentralEurope	scenic_drives_passes	https://lazytrips.com/blog/the-10-best-driving-roads-in-the-alps
CentralEurope	world_class_museums	https://mnk.pl/en/exhibitions/175
EasternEurope	balkan_war_history	https://www.dark-tourism.com/index.php/croatia/15-countries/individual-chapters/91-mostar
EasternEurope	festivals_events	https://aroundtheatlas.eu/2025/05/24/6-balkan-festivals-you-cant-miss-throughout-the-year/
EasternEurope	ottoman_heritage	https://www.dark-tourism.com/index.php/croatia/15-countries/individual-chapters/91-mostar
EasternEurope	wildlife_watching	https://www.naturalistjourneys.com/tours/2025/09/20/romania-bulgaria-fall-migration-on-the-danube-delta
Mediterranean	ancient_ruins	https://www.italygonia.com/2025/10/21/the-valley-of-the-temples-in-agrigento/
Mediterranean	volcano_hiking	https://www.utracks.com/Italy/Guided-Walking/Southern-Italy-Volcano-Route-Guided-Walk
Mediterranean	whale_dolphin_watching	https://travelscience.org/dolphin-watching-in-the-mediterranean/
Mediterranean	windsurf_kitesurf	https://bstoked.net/locations/greece/
NordicBaltic	archipelago_islands	https://holipay.io/en/blog/stockholm-archipelago-2025-island-hopping-guide
NordicBaltic	iconic_nordic_stays	https://en.wikipedia.org/wiki/Icehotel_(Jukkasj%C3%A4rvi
WesternEurope	royal_palaces_chateaux	https://www.charmainewanders.com/post/royal-palace-madrid-guide
Caribbean	island_cuisine	https://adept.travel/blogs/top-5-caribbean-islands-for-foodies-culinary-hotspots
Caribbean	luxury_romance	https://www.aol.com/articles/safest-caribbean-islands-2026-honeymooners-130500535.html
CentralAmerica	all_inclusive_resorts	https://www.riu.com/en/country/costa-rica
CentralAmerica	all_inclusive_resorts	https://www.twoweeksincostarica.com/all-inclusive-resorts-costa-rica/
CentralAmerica	all_inclusive_resorts	https://www.decameron.com/en/hotels-panama
CentralAmerica	birding	https://costaricaexperts.com/things-to-do/
CentralAmerica	coffee_highlands	https://www.boqueteoutdooradventures.com/coffee.html
CentralAmerica	maya_ruins	https://approachguides.com/ebook-previews/Preview-ApproachGuides-Maya-Tikal-Copan.pdf
CentralAmerica	white_water_rafting	https://www.twoweeksincostarica.com/white-water-rafting-pacuare-river-costa-rica/
EasternCanada	golf_links_resorts	https://cabotcapebreton.com/golf-accolades
EasternCanada	grand_railway_hotels	https://www.historichotels.org/hotels-resorts/fairmont-chateau-laurier/history.php
Mexico	monarch_butterflies	https://journeynorth.org/monarchs/news/spring-2025/030525-eastern-monarch-population-count-announced
Mexico	world_class_museums	https://en.wikipedia.org/wiki/National_Museum_of_Anthropology_(Mexico
USMidwest	badlands_black_hills	https://www.roadscholar.org/find-an-adventure/13160/The-Best-of-Mount-Rushmore-the-Black-Hills-and-Badlands/itinerary/
USMidwest	world_class_museums	https://www.wonderfulmuseums.com/museum/best-museums-in-the-midwest/
USMountainWest	fall_aspen_foliage	https://thatcoloradocouple.com/when-where-peak-colorado-fall-colors/
USMountainWest	heritage_railways	https://www.roadscholar.org/find-an-adventure/4345/the-best-of-colorado-s-historic-railroads
USMountainWest	winter_beyond_the_slopes	https://www.roadscholar.org/find-an-adventure/18292/Winter-Adventures-in-Jackson-Hole-Dog-Sleds-Snowshoes-and-Sleighs
USMountainWest	winter_beyond_the_slopes	https://gazette.com/life/outdoors/ouray-ice-park-opens-for-season-on-heels-of-game-changer-agreement/article_bcd49b60-a68b-11ee-9db0-e34918dc5d19.html
USNortheast	broadway_theater	https://www.roadscholar.org/find-an-adventure/14963/The-Berkshires-Tanglewood-Jacob-s-Pillow-Dance-Festival
USNortheast	farm_to_table	https://sullivancatskills.com/catskill-icious/savor-the-flavors-of-the-sullivan-catskills-during-hudson-valley-restaurant-week/
USNortheast	nightlife_rooftops	https://www.timeout.com/newyork/bars/rooftop-bars
USPacific	skiing_snowboarding	https://travellemming.com/california-ski-resorts/
USSouth	bayou_swamp_tours	https://www.nps.gov/jela/barataria-preserve.htm
USSouth	bayou_swamp_tours	https://www.louisiananorthshore.com/things-to-do/swamp-tours/
USSouth	bbq_culture	https://www.lockhart-tx.org/barbecue
USSouth	bbq_culture	https://texashighways.com/eat-drink/central-texas-barbecue-trail/
USSouth	bbq_culture	https://www.austintexas.org/things-to-do/food-and-drink/barbecue/
