subregion	blog	issue	code	url
EastAfrica	coffee_origin_culture	DEAD	404	https://absoluteethiopia.com/ethiopian-coffee-culture-places-to-see-in-the-birthplace-of-coffee/
EastAfrica	great_migration	DEAD	521	https://www.go2africa.com/african-travel-blog/how-the-wildebeest-migration-works
EastAfrica	highland_trekking	DEAD	404	https://www.lonelyplanet.com/articles/trekking-ethiopias-simien-mountains
EastAfrica	luxury_safari_camps	DEAD	521	https://www.go2africa.com/african-travel-blog/africas-top-tented-safari-camps
EastAfrica	walking_safari	DEAD	404	https://kicheche.com/bush-walks/
EastAfrica	white_water_rafting_nile	DEAD	404	https://wildjungletrails.com/white-water-rafting-jinja-uganda/
NorthAfrica	coastal_towns	DEAD	404	https://www.aol.com/articles/11-african-cities-stunning-waterfronts-162557883.html
NorthAfrica	imperial_medinas	DEAD	ERR:MaxRetryError	https://theculturetrip.com/africa/morocco/articles/an-essential-guide-to-marrakeshs-souks
NorthAfrica	islamic_architecture	DEAD	404	https://moroccan-odyssey.com/koutoubia-mosque-history-architecture/
NorthAfrica	north_african_cuisine	DEAD	ERR:MaxRetryError	https://www.originaltravel.co.uk/travel-blog/traditional-food-in-tunisia
NorthAfrica	pharaonic_temples	DEAD	406	https://www.cbsnews.com/news/egypt-ancient-avenue-sphinxes-luxor-karnak-ceremony-opet-parade-route/
NorthAfrica	pharaonic_temples	DEAD	ERR:MaxRetryError	https://sis.gov.eg/en/media-center/news/sun-aligns-on-face-of-king-ramses-ii-s-statue-at-abu-simbel-temple-for-22-mins/
NorthAfrica	pyramids_sphinx	DEAD	406	https://www.newsweek.com/pyramids-egypt-tourism-chaos-camels-costner-2058534
NorthAfrica	sahara_dunes	DEAD	ERR:MaxRetryError	https://lifedevil.com/camel-trekking-in-the-sahara-douz-to-ksar-ghilane-tunisia/
EastAsia	autumn_foliage	DEAD	ERR:MaxRetryError	https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=231292
EastAsia	cherry_blossoms	DEAD	ERR:MaxRetryError	https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=221451
EastAsia	futuristic_tech_districts	DEAD	ERR:MaxRetryError	https://www.kkday.com/en-au/destination/cn-huaqiangbei
EastAsia	iconic_cityscapes	DEAD	ERR:MaxRetryError	https://www.korea.net/NewsFocus/HonoraryReporters/view?articleId=156378
EastAsia	imperial_palaces	DEAD	404	https://english.visitseoul.net/attractions/Gyeongbokgung/ENP000072
EastAsia	island_beaches	DEAD	ERR:MaxRetryError	https://english.visitkorea.or.kr/svc/whereToGo/locIntrdn/rgnContentsView.do?vcontsId=110946
EastAsia	korean_bbq_table_dining	DEAD	ERR:MaxRetryError	https://www.korea.net/NewsFocus/Culture/view?articleId=187706
EastAsia	nightlife_entertainment	DEAD	404	https://www.morningstar.com/news/pr-newswire/20260221ny92865/ttw-announces-top-50-nightlife-travel-destinations-in-the-world-for-2026
EastAsia	onsen_hot_springs	DEAD	ERR:MaxRetryError	https://www.kkday.com/en/destination/tw-beitou
EastAsia	pop_culture_anime_kpop	DEAD	ERR:MaxRetryError	https://www.gotokyo.org/en/destinations/central-tokyo/akihabara/index.html
EastAsia	ryokan_traditional_stays	DEAD	ERR:MaxRetryError	https://travel.rakuten.com/contents/usa/en-us/guide/nishiyama-onsen-keiunkan/
EastAsia	ryokan_traditional_stays	DEAD	ERR:MaxRetryError	https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=140678
EastAsia	street_food_night_markets	DEAD	404	https://www.idyllicpursuit.com/15-food-cities-in-asia-where-street-markets-steal-the-show/
MiddleEast	arabian_cuisine_food	DEAD	503	https://www.emirates.com/english/experience/dining/emirates-recipes/arabic-mezze/
MiddleEast	nightlife_beach_clubs	DEAD	ERR:MaxRetryError	https://www.smartraveller.gov.au/destinations/middle-east/united-arab-emirates
MiddleEast	petra_nabataean	DEAD	500	https://houseofsaud.com/travel/alula/
MiddleEast	theme_parks_family	DEAD	ERR:MaxRetryError	https://www.atlantis.com/dubai/atlantis-aquaventure
MiddleEast	wadi_rum_desertscapes	DEAD	500	https://houseofsaud.com/travel/alula/
SouthAsia	bazaars_handicrafts	DEAD	ERR:MaxRetryError	https://www.tourism.rajasthan.gov.in/jaipur.html
SouthAsia	himalayan_monasteries	DEAD	ERR:MaxRetryError	https://www.breathebhutan.com/attractions/paro-taktsang-monastery/
SouthAsia	himalayan_trekking	DEAD	404	https://followalice.com/adventure-trips/everest-base-camp/posts/nepal-trekking-permits-and-fees
SouthAsia	kathmandu_valley_heritage	DEAD	406	https://time.com/3922292/nepal-earthquake-unesco-tourism-instability-rehabilitation-rebuilding-durbar-square/
SouthAsia	palace_heritage_hotels	DEAD	ERR:MaxRetryError	https://www.tourism.rajasthan.gov.in/jaipur.html
SouthAsia	rajasthan_forts_palaces	DEAD	ERR:MaxRetryError	https://www.tourism.rajasthan.gov.in/amber-palace.html
SouthAsia	rajasthan_forts_palaces	DEAD	ERR:MaxRetryError	https://www.tourism.rajasthan.gov.in/jaipur.html
SoutheastAsia	elephant_sanctuaries	DEAD	404	https://www.legendtravelgroup.com/a/exploring-ethical-elephant-sanctuaries-in-vietnam-cambodia-laos-and-thailand-a-comprehensive-guide-for-international-travelers
SoutheastAsia	family_friendly	DEAD	ERR:MaxRetryError	https://theculturetrip.com/asia/articles/the-10-best-family-friendly-destinations-in-asia
SoutheastAsia	jungle_wildlife	DEAD	404	https://castawaychris.com/sundaland/
SoutheastAsia	nightlife_parties	DEAD	404	https://www.legendtravelgroup.com/a/exploring-southeast-asia-nightlife-a-vibrant-travel-guide-for-all-travelers
SoutheastAsia	scuba_diving	DEAD	404	https://guidetothephilippines.ph/articles/islands-and-beaches/best-dive-spots-philippines
